Codigo Token: 3, Nombre Token: FLOAT, Valor: bromista, Linea: 1, Columna: 1

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _func1_, Linea: 1, Columna: 11

Codigo Token: 15, Nombre Token: PARENIZQ, Valor: abreregalo, Linea: 1, Columna: 20

Codigo Token: 16, Nombre Token: PARENDER, Valor: cierraregalo, Linea: 1, Columna: 31

Codigo Token: 17, Nombre Token: BRACEIZQ, Valor: abrecuento, Linea: 1, Columna: 44

Codigo Token: 3, Nombre Token: FLOAT, Valor: bromista, Linea: 2, Columna: 3

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _h_, Linea: 2, Columna: 12

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 2, Columna: 16

Codigo Token: 2, Nombre Token: INTEGER, Valor: rodolfo, Linea: 3, Columna: 3

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _i_, Linea: 3, Columna: 11

Codigo Token: 44, Nombre Token: ASIGNACION, Valor: entrega, Linea: 3, Columna: 15

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _u_, Linea: 3, Columna: 23

Codigo Token: 21, Nombre Token: INCREMENTO, Valor: quien, Linea: 3, Columna: 27

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 3, Columna: 33

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _h_, Linea: 4, Columna: 3

Codigo Token: 44, Nombre Token: ASIGNACION, Valor: entrega, Linea: 4, Columna: 7

Codigo Token: 2, Nombre Token: INTEGER, Valor: 4, Linea: 4, Columna: 15

Codigo Token: 23, Nombre Token: SUMA, Valor: navidad, Linea: 4, Columna: 17

Codigo Token: 2, Nombre Token: INTEGER, Valor: 2, Linea: 4, Columna: 25

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 4, Columna: 27

Codigo Token: 32, Nombre Token: IF, Valor: elfo, Linea: 5, Columna: 3

Codigo Token: 15, Nombre Token: PARENIZQ, Valor: abreregalo, Linea: 5, Columna: 8

Codigo Token: 2, Nombre Token: INTEGER, Valor: 4, Linea: 5, Columna: 19

Codigo Token: 9, Nombre Token: MENOR, Valor: snowball, Linea: 5, Columna: 21

Codigo Token: 2, Nombre Token: INTEGER, Valor: 2, Linea: 5, Columna: 30

Codigo Token: 16, Nombre Token: PARENDER, Valor: cierraregalo, Linea: 5, Columna: 32

Codigo Token: 17, Nombre Token: BRACEIZQ, Valor: abrecuento, Linea: 5, Columna: 45

Codigo Token: 4, Nombre Token: BOOL, Valor: trueno, Linea: 6, Columna: 4

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _l_, Linea: 6, Columna: 11

Codigo Token: 44, Nombre Token: ASIGNACION, Valor: entrega, Linea: 6, Columna: 15

Codigo Token: 2, Nombre Token: INTEGER, Valor: 3, Linea: 6, Columna: 23

Codigo Token: 11, Nombre Token: MAYOR, Valor: minstix, Linea: 6, Columna: 25

Codigo Token: 2, Nombre Token: INTEGER, Valor: 5, Linea: 6, Columna: 33

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 6, Columna: 35

Codigo Token: 18, Nombre Token: BRACEDER, Valor: cierracuento, Linea: 7, Columna: 2

Codigo Token: 33, Nombre Token: ELSE, Valor: hada, Linea: 7, Columna: 15

