Codigo Token: 3, Nombre Token: FLOAT, Valor: bromista, Linea: 1, Columna: 1

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _func1_, Linea: 1, Columna: 11

Codigo Token: 15, Nombre Token: PARENIZQ, Valor: abreregalo, Linea: 1, Columna: 20

Codigo Token: 16, Nombre Token: PARENDER, Valor: cierraregalo, Linea: 1, Columna: 31

Codigo Token: 17, Nombre Token: BRACEIZQ, Valor: abrecuento, Linea: 1, Columna: 44

Codigo Token: 3, Nombre Token: FLOAT, Valor: bromista, Linea: 2, Columna: 3

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _h_, Linea: 2, Columna: 12

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 2, Columna: 16

Codigo Token: 2, Nombre Token: INTEGER, Valor: rodolfo, Linea: 3, Columna: 3

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _i_, Linea: 3, Columna: 11

Codigo Token: 44, Nombre Token: ASIGNACION, Valor: entrega, Linea: 3, Columna: 15

Codigo Token: 2, Nombre Token: INTEGER, Valor: 8, Linea: 3, Columna: 23

Codigo Token: 23, Nombre Token: SUMA, Valor: navidad, Linea: 3, Columna: 25

Codigo Token: 2, Nombre Token: INTEGER, Valor: 8, Linea: 3, Columna: 33

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 3, Columna: 35

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _h_, Linea: 4, Columna: 3

Codigo Token: 44, Nombre Token: ASIGNACION, Valor: entrega, Linea: 4, Columna: 7

Codigo Token: 2, Nombre Token: INTEGER, Valor: rodolfo, Linea: 4, Columna: 15

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _i_, Linea: 4, Columna: 23

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 4, Columna: 27

Codigo Token: 18, Nombre Token: BRACEDER, Valor: cierracuento, Linea: 6, Columna: 1

Cantidad de lexemas encontrados: 21
